category,count
Card Game,114
Fantasy,80
Fighting,76
Economic,73
Adventure,47
Medieval,46
City Building,45
Science Fiction,43
Bluffing,41
Party Game,38
Deduction,37
Territory Building,32
Dice,31
Exploration,30
Miniatures,30
Horror,28
Civilization,26
Ancient,26
Negotiation,26
Wargame,26
Humor,23
Nautical,22
Expansion for Base-game,21
Animals,20
Abstract Strategy,20
Novel-based,20
Real-time,17
Renaissance,16
Movies / TV / Radio theme,16
Farming,16
Space Exploration,14
Trains,13
Mythology,13
Puzzle,12
Murder/Mystery,11
Transportation,11
Political,11
Racing,10
Travel,10
Industry / Manufacturing,9
Environmental,8
Pirates,8
Spies/Secret Agents,7
Children's Game,7
American West,7
Sports,7
Zombies,7
Video Game Theme,7
Action / Dexterity,6
Comic Book / Strip,6
Word Game,6
Post-Napoleonic,6
Religious,5
Arabian,5
Collectible Components,4
Medical,4
Prehistoric,4
Aviation / Flight,4
Trivia,3
Maze,3
Number,3
Electronic,3
World War II,3
Mature / Adult,2
Mafia,2
Napoleonic,2
Educational,2
Memory,2
Print & Play,2
Age of Reason,2
World War I,1
Music,1
American Indian Wars,1
Book,1
Modern Warfare,1
